internal_txn_id,transaction_date,amount,account_last4,merchant_descriptor,nacha_return_code,card_number_masked,mcc,merchant_number
TXN-03AD90CD9C,2026-06-29,86.28,5280,EXPRESS FUEL 8,,998767******5280,5542,MID700004
TXN-F6DF765126,2026-06-17,122.5,4557,HWY60 FUEL CTR,,994343******4557,5542,MID700002
TXN-755F68FA86,2026-06-22,170.96,9012,FUEL STOP #4471,,680082******9012,5541,MID700000
TXN-C38E7B1F93,2026-06-12,117.73,8167,PANTRY PLUS 77,,595012******8167,5499,MID700007
TXN-3D1FA2E4B6,2026-06-18,17.26,6684,QUIKMART 0092,,545288******6684,5499,MID700001
TXN-6E8ED4C6E8,2026-06-16,55.22,9031,HWY60 FUEL CTR,,238041******9031,5542,MID700002
TXN-D775C6EDF3,2026-06-10,134.8,9616,PANTRY PLUS 77,,245360******9616,5499,MID700007
TXN-BBC6ADF708,2026-06-28,142.96,0715,CORNER STORE 3,,691923******0715,5499,MID700005
TXN-87B6A27F5B,2026-06-28,31.56,7213,QUIKMART 0092,,580243******7213,5499,MID700001
TXN-FAE7893A43,2026-06-28,69.21,8742,GAS N GO 214,,951673******8742,5541,MID700006
TXN-240505636A,2026-06-04,140.46,1646,PANTRY PLUS 77,,129766******1646,5499,MID700007
TXN-793A7AE748,2026-06-06,28.03,6267,TRAVEL PLAZA 12,,952885******6267,5541,MID700003
TXN-B74FD1654B,2026-06-12,177.96,4901,GAS N GO 214,,616142******4901,5541,MID700006
TXN-9AB097E4C9,2026-06-27,123.61,4497,FUEL STOP #4471,,716138******4497,5541,MID700000
TXN-AEA479B14B,2026-06-21,46.37,4106,HWY60 FUEL CTR,,119151******4106,5542,MID700002
TXN-D4D7CB51F2,2026-06-05,144.77,5994,EXPRESS FUEL 8,,185346******5994,5542,MID700004
TXN-C087AA9DF1,2026-06-28,126.59,6511,CORNER STORE 3,R02,198817******6511,5499,MID700005
TXN-E31DE462F4,2026-06-01,117.23,9198,CORNER STORE 3,,705320******9198,5499,MID700005
TXN-65FB89BEAD,2026-06-04,53.74,8807,HWY60 FUEL CTR,,817777******8807,5542,MID700002
TXN-7FD1A8F563,2026-06-09,20.4,6070,TRAVEL PLAZA 12,,464085******6070,5541,MID700003
TXN-A90C3291C3,2026-06-28,150.99,1501,TRAVEL PLAZA 12,,236315******1501,5541,MID700003
TXN-4FF8C1D25C,2026-06-28,53.44,2417,FUEL STOP #4471,,805214******2417,5541,MID700000
TXN-B8B7C818F0,2026-06-01,43.75,0858,HWY60 FUEL CTR,,112678******0858,5542,MID700002
TXN-A0FD61B7E5,2026-06-28,123.72,4941,PANTRY PLUS 77,,564610******4941,5499,MID700007
TXN-69486C1AE8,2026-06-05,60.38,9590,CORNER STORE 3,,270497******9590,5499,MID700005
TXN-57616A52E1,2026-06-14,89.51,3743,GAS N GO 214,,489129******3743,5541,MID700006
TXN-898515ACDB,2026-06-03,86.26,6105,HWY60 FUEL CTR,,823889******6105,5542,MID700002
TXN-A31D5C9CDF,2026-06-20,66.55,1697,TRAVEL PLAZA 12,R03,945927******1697,5541,MID700003
TXN-9AB04CE522,2026-06-20,126.37,9121,FUEL STOP #4471,,190065******9121,5541,MID700000
TXN-B3655BC910,2026-06-03,38.41,0502,QUIKMART 0092,,939774******0502,5499,MID700001
TXN-76963851A9,2026-06-20,23.21,1336,EXPRESS FUEL 8,,446999******1336,5542,MID700004
TXN-0432450B26,2026-06-10,22.49,6475,FUEL STOP #4471,,627182******6475,5541,MID700000
TXN-6B671566A4,2026-06-17,107.19,5802,QUIKMART 0092,,179393******5802,5499,MID700001
TXN-1D39864552,2026-06-11,43.36,7538,CORNER STORE 3,,105553******7538,5499,MID700005
TXN-5FA21422C1,2026-06-04,102.55,3176,CORNER STORE 3,,990525******3176,5499,MID700005
TXN-E9A9DA2174,2026-06-21,96.53,9236,PANTRY PLUS 77,R16,617620******9236,5499,MID700007
TXN-7054AF1969,2026-06-02,73.07,1215,EXPRESS FUEL 8,,785736******1215,5542,MID700004
TXN-98F7CDF1A0,2026-06-24,162.82,7368,TRAVEL PLAZA 12,R07,757627******7368,5541,MID700003
TXN-5E6CA0A558,2026-06-15,101.47,9991,HWY60 FUEL CTR,,221914******9991,5542,MID700002
TXN-5925FB69F4,2026-06-09,134.42,9874,HWY60 FUEL CTR,,771070******9874,5542,MID700002
TXN-A65523F732,2026-06-26,69.2,2093,QUIKMART 0092,,126629******2093,5499,MID700001
TXN-AE9922B9EB,2026-06-28,145.04,8317,FUEL STOP #4471,,740750******8317,5541,MID700000
TXN-9CC33FCE3A,2026-06-12,126.6,3891,PANTRY PLUS 77,,643085******3891,5499,MID700007
TXN-86239D075E,2026-06-15,91.18,4616,GAS N GO 214,,816306******4616,5541,MID700006
TXN-C4E26F3750,2026-06-17,155.44,4670,QUIKMART 0092,,560900******4670,5499,MID700001
TXN-50EDAC24DB,2026-06-17,76.7,6326,QUIKMART 0092,,559259******6326,5499,MID700001
TXN-032F96C313,2026-06-23,92.4,0086,QUIKMART 0092,,226010******0086,5499,MID700001
TXN-908326936A,2026-06-20,90.42,1816,PANTRY PLUS 77,,619489******1816,5499,MID700007
TXN-67AF40C5BA,2026-06-12,26.17,8618,FUEL STOP #4471,,339518******8618,5541,MID700000
TXN-55ADAF722B,2026-06-24,139.85,2185,FUEL STOP #4471,,196473******2185,5541,MID700000
TXN-546D70A4D0,2026-06-02,63.42,0717,TRAVEL PLAZA 12,R01,571923******0717,5541,MID700003
TXN-EBE6F77E8C,2026-06-09,35.54,6029,GAS N GO 214,,548395******6029,5541,MID700006
TXN-51A496B50D,2026-06-03,86.05,2956,EXPRESS FUEL 8,,198251******2956,5542,MID700004
TXN-A68B20DA72,2026-06-14,60.3,0939,QUIKMART 0092,,954720******0939,5499,MID700001
TXN-9AF5C986A3,2026-06-21,75.44,6272,FUEL STOP #4471,,430727******6272,5541,MID700000
TXN-E1CB39BF32,2026-06-24,45.7,8482,GAS N GO 214,,513300******8482,5541,MID700006
TXN-CFFAB8442B,2026-06-06,163.28,7292,QUIKMART 0092,,843062******7292,5499,MID700001
TXN-132C085C89,2026-06-06,145.96,8335,TRAVEL PLAZA 12,,418944******8335,5541,MID700003
TXN-CD1FA7A5EC,2026-06-10,80.7,7842,GAS N GO 214,,604069******7842,5541,MID700006
TXN-8DD842E3F8,2026-06-06,141.68,2114,GAS N GO 214,,224762******2114,5541,MID700006
TXN-24882F2AB9,2026-06-03,56.35,9024,EXPRESS FUEL 8,,247429******9024,5542,MID700004
TXN-0A9AC6A7A4,2026-06-19,21.8,0464,QUIKMART 0092,,647406******0464,5499,MID700001
TXN-1077395BBD,2026-06-16,55.4,6653,EXPRESS FUEL 8,R09,860914******6653,5542,MID700004
TXN-31720FD6FE,2026-06-05,140.51,8437,QUIKMART 0092,R07,121996******8437,5499,MID700001
TXN-C78740F8F3,2026-06-30,110.32,5123,TRAVEL PLAZA 12,,598712******5123,5541,MID700003
TXN-4012456008,2026-06-02,61.42,9789,PANTRY PLUS 77,,829678******9789,5499,MID700007
TXN-C4FA1F6C5F,2026-06-10,27.13,8261,PANTRY PLUS 77,,358938******8261,5499,MID700007
TXN-0257798592,2026-06-07,114.41,6576,FUEL STOP #4471,,341073******6576,5541,MID700000
TXN-8879705164,2026-06-24,154.03,9727,CORNER STORE 3,,228244******9727,5499,MID700005
TXN-4AF93078BC,2026-06-28,128.53,0436,PANTRY PLUS 77,,474948******0436,5499,MID700007
TXN-37663897DB,2026-06-27,127.32,0517,QUIKMART 0092,,999102******0517,5499,MID700001
TXN-852E55CBAB,2026-06-17,49.21,5325,PANTRY PLUS 77,,515142******5325,5499,MID700007
TXN-3F443B55EC,2026-06-07,172.96,4571,EXPRESS FUEL 8,,640445******4571,5542,MID700004
TXN-E65C20F1EA,2026-06-04,109.62,8899,GAS N GO 214,,302224******8899,5541,MID700006
TXN-EB2993A8A0,2026-06-07,48.34,8824,EXPRESS FUEL 8,,402846******8824,5542,MID700004
TXN-FF2AE7AC44,2026-06-23,92.95,2252,FUEL STOP #4471,,236015******2252,5541,MID700000
TXN-8BEE2E2EF6,2026-06-25,29.76,9406,TRAVEL PLAZA 12,,655835******9406,5541,MID700003
TXN-091F4F87FD,2026-06-30,138.59,4742,FUEL STOP #4471,,877608******4742,5541,MID700000
TXN-BAB054A39A,2026-06-07,148.45,5417,HWY60 FUEL CTR,,620236******5417,5542,MID700002
TXN-A225343CF4,2026-06-14,100.02,1421,GAS N GO 214,,626811******1421,5541,MID700006
TXN-01468EB41E,2026-06-01,58.16,5890,TRAVEL PLAZA 12,,655460******5890,5541,MID700003
TXN-2B96878A33,2026-06-20,51.44,2188,PANTRY PLUS 77,,455403******2188,5499,MID700007
TXN-85E1DE382D,2026-06-28,144.92,8609,PANTRY PLUS 77,,435971******8609,5499,MID700007
TXN-18C78707CB,2026-06-22,48.89,9554,PANTRY PLUS 77,,594200******9554,5499,MID700007
TXN-051FE1E06C,2026-06-27,15.5,3570,QUIKMART 0092,,921007******3570,5499,MID700001
TXN-F6DE6AA8A5,2026-06-24,121.57,6887,CORNER STORE 3,,138673******6887,5499,MID700005
TXN-DCF7B66372,2026-06-18,79.85,2086,TRAVEL PLAZA 12,,789842******2086,5541,MID700003
TXN-C6CE03109B,2026-06-29,134.63,1848,FUEL STOP #4471,,958932******1848,5541,MID700000
TXN-8CC2F3E99C,2026-06-24,22.3,7191,TRAVEL PLAZA 12,,429853******7191,5541,MID700003
TXN-6489B2A805,2026-06-08,64.79,2347,TRAVEL PLAZA 12,,556779******2347,5541,MID700003
TXN-642833D270,2026-06-13,144.66,5222,GAS N GO 214,,903488******5222,5541,MID700006
TXN-33AED1B34A,2026-06-14,106.95,2196,GAS N GO 214,,745853******2196,5541,MID700006
TXN-7D5F0EF1F7,2026-06-28,27.01,9626,TRAVEL PLAZA 12,,122216******9626,5541,MID700003
TXN-8C6854871F,2026-06-20,131.12,6498,TRAVEL PLAZA 12,,395677******6498,5541,MID700003
TXN-50DB089B43,2026-06-27,67.84,3328,CORNER STORE 3,,588840******3328,5499,MID700005
TXN-4DFA72C2B7,2026-06-19,152.5,8180,CORNER STORE 3,,276880******8180,5499,MID700005
TXN-D1D002A123,2026-06-18,178.4,0962,FUEL STOP #4471,,144257******0962,5541,MID700000
TXN-0860B848B6,2026-06-02,116.94,7916,PANTRY PLUS 77,,829286******7916,5499,MID700007
TXN-38D46569F3,2026-06-06,32.66,1578,HWY60 FUEL CTR,R04,207974******1578,5542,MID700002
TXN-667AB1DA5F,2026-06-28,28.3,0519,QUIKMART 0092,,817894******0519,5499,MID700001
TXN-EB94EA48A2,2026-06-29,102.15,0697,TRAVEL PLAZA 12,R04,585810******0697,5541,MID700003
TXN-CB6123D6E5,2026-06-01,173.64,9617,HWY60 FUEL CTR,,152163******9617,5542,MID700002
TXN-06D5CF6C04,2026-06-05,145.43,1284,CORNER STORE 3,,638616******1284,5499,MID700005
TXN-6AA19CB12B,2026-06-16,52.64,9060,GAS N GO 214,,187781******9060,5541,MID700006
TXN-1F7C116881,2026-06-24,79.29,5909,QUIKMART 0092,,549180******5909,5499,MID700001
TXN-D06CB8F38A,2026-06-18,30.36,9798,CORNER STORE 3,,260013******9798,5499,MID700005
TXN-1667143A93,2026-06-09,64.69,8079,HWY60 FUEL CTR,,388235******8079,5542,MID700002
TXN-D6D76DA949,2026-06-10,16.12,6483,CORNER STORE 3,,113794******6483,5499,MID700005
TXN-4B7936D619,2026-06-16,66.84,6524,CORNER STORE 3,,756207******6524,5499,MID700005
TXN-F7B74BDC67,2026-06-18,44.69,9012,FUEL STOP #4471,,680082******9012,5541,MID700000
TXN-C1F768EB8C,2026-06-08,56.69,2525,GAS N GO 214,,307393******2525,5541,MID700006
TXN-13A299AAF5,2026-06-29,149.03,9729,QUIKMART 0092,,754976******9729,5499,MID700001
TXN-889976C985,2026-06-04,16.74,4239,TRAVEL PLAZA 12,,871184******4239,5541,MID700003
TXN-DB55C851B7,2026-06-04,63.75,1406,QUIKMART 0092,,309971******1406,5499,MID700001
TXN-DAA2F3228F,2026-06-02,148.68,1885,FUEL STOP #4471,,522194******1885,5541,MID700000
TXN-6BE76034BC,2026-06-13,118.91,3053,GAS N GO 214,,675956******3053,5541,MID700006
TXN-574D8A9995,2026-06-26,158.88,3063,CORNER STORE 3,,921833******3063,5499,MID700005
TXN-A531526996,2026-06-20,43.47,4873,QUIKMART 0092,,911404******4873,5499,MID700001
TXN-72570502DF,2026-06-18,129.42,2838,HWY60 FUEL CTR,,867657******2838,5542,MID700002
TXN-B729C3034C,2026-06-16,82.51,8056,GAS N GO 214,,951853******8056,5541,MID700006
TXN-948F8CC736,2026-06-25,141.38,9006,QUIKMART 0092,,196579******9006,5499,MID700001
TXN-75D7FC3C95,2026-06-21,138.97,4877,FUEL STOP #4471,,682894******4877,5541,MID700000
TXN-DC9892F49F,2026-06-21,85.65,2281,TRAVEL PLAZA 12,,924974******2281,5541,MID700003
TXN-FCEFD2D3BD,2026-06-29,127.08,1560,HWY60 FUEL CTR,,966221******1560,5542,MID700002
TXN-A61CC6BBE7,2026-06-22,79.8,2329,EXPRESS FUEL 8,,373682******2329,5542,MID700004
TXN-ABDC6FD754,2026-06-19,15.41,1526,PANTRY PLUS 77,,888482******1526,5499,MID700007
TXN-EC0AD0E27F,2026-06-05,108.41,7951,CORNER STORE 3,,959950******7951,5499,MID700005
TXN-DE151AA0AB,2026-06-23,165.05,4945,HWY60 FUEL CTR,,707579******4945,5542,MID700002
TXN-31987051DB,2026-06-14,123.16,1559,FUEL STOP #4471,,369982******1559,5541,MID700000
TXN-5E2CC2F280,2026-06-08,78.21,1678,QUIKMART 0092,,434048******1678,5499,MID700001
TXN-E973E21B56,2026-06-15,72.95,3490,HWY60 FUEL CTR,,490534******3490,5542,MID700002
TXN-899CBDA488,2026-06-08,60.7,1380,TRAVEL PLAZA 12,,878957******1380,5541,MID700003
TXN-63A1E0556D,2026-06-10,121.62,3921,PANTRY PLUS 77,,166559******3921,5499,MID700007
TXN-01400C8A86,2026-06-18,127.69,7717,QUIKMART 0092,,953092******7717,5499,MID700001
TXN-4483C86ADA,2026-06-03,120.69,8808,HWY60 FUEL CTR,,333097******8808,5542,MID700002
TXN-3E190AA202,2026-06-23,87.19,3909,FUEL STOP #4471,,151671******3909,5541,MID700000
TXN-22C4EC0C41,2026-06-16,172.25,8568,EXPRESS FUEL 8,,927276******8568,5542,MID700004
TXN-80D22CEA1B,2026-06-19,118.54,8128,PANTRY PLUS 77,,774013******8128,5499,MID700007
TXN-762ED8EB65,2026-06-28,157.38,4006,FUEL STOP #4471,,286244******4006,5541,MID700000
TXN-1A03806EDC,2026-06-24,67.79,1276,CORNER STORE 3,,750736******1276,5499,MID700005
TXN-3949797C3E,2026-06-03,106.26,0130,CORNER STORE 3,,399340******0130,5499,MID700005
TXN-35DEF0ADB1,2026-06-08,39.84,6718,FUEL STOP #4471,,700196******6718,5541,MID700000
TXN-B1EE8B5F11,2026-06-08,84.27,0981,HWY60 FUEL CTR,,630076******0981,5542,MID700002
TXN-6F345CBB54,2026-06-27,80.07,9697,FUEL STOP #4471,,407333******9697,5541,MID700000
TXN-22768F3441,2026-06-07,37.46,9579,QUIKMART 0092,,612873******9579,5499,MID700001
TXN-3D2BF604D2,2026-06-22,65.2,9884,FUEL STOP #4471,,888827******9884,5541,MID700000
TXN-7C20DF2D5A,2026-06-28,89.61,9013,TRAVEL PLAZA 12,R02,290530******9013,5541,MID700003
TXN-F3AC1DC1F0,2026-06-19,111.71,1228,FUEL STOP #4471,,146374******1228,5541,MID700000
TXN-0A2324E093,2026-06-14,150.58,6471,PANTRY PLUS 77,,912287******6471,5499,MID700007
TXN-166AC3F806,2026-06-14,160.66,7848,FUEL STOP #4471,,151808******7848,5541,MID700000
TXN-E86253EC0F,2026-06-16,104.85,7940,CORNER STORE 3,,520905******7940,5499,MID700005
TXN-1A4DE0F3DC,2026-06-25,111.36,3813,HWY60 FUEL CTR,,915778******3813,5542,MID700002
TXN-35B59B592F,2026-06-27,178.6,2846,HWY60 FUEL CTR,,290964******2846,5542,MID700002
TXN-20090759C5,2026-06-26,160.47,8064,EXPRESS FUEL 8,,229789******8064,5542,MID700004
TXN-09ECDDF5F6,2026-06-26,154.31,5301,FUEL STOP #4471,,203218******5301,5541,MID700000
TXN-CFA2FBEC39,2026-06-10,68.23,2580,GAS N GO 214,,897363******2580,5541,MID700006
TXN-20B9DC925C,2026-06-10,136.11,4825,HWY60 FUEL CTR,,482394******4825,5542,MID700002
TXN-5155AFDAB5,2026-06-21,108.32,8129,HWY60 FUEL CTR,,830490******8129,5542,MID700002
TXN-4106BFE768,2026-06-07,56.17,1110,CORNER STORE 3,,779825******1110,5499,MID700005
TXN-21D45F126B,2026-06-16,145.14,9470,TRAVEL PLAZA 12,,486509******9470,5541,MID700003
TXN-B6A9605F68,2026-06-29,176.38,5536,PANTRY PLUS 77,,864079******5536,5499,MID700007
TXN-309D2564A9,2026-06-18,58.77,4612,EXPRESS FUEL 8,,429182******4612,5542,MID700004
TXN-71C7E4A656,2026-06-01,49.15,4781,QUIKMART 0092,,165156******4781,5499,MID700001
TXN-340CA158F9,2026-06-02,58.44,7619,EXPRESS FUEL 8,,392070******7619,5542,MID700004
TXN-FAE9346D09,2026-06-27,78.87,8561,GAS N GO 214,,381420******8561,5541,MID700006
TXN-F7F23301A3,2026-06-19,126.79,2415,QUIKMART 0092,,970330******2415,5499,MID700001
TXN-EE166547DC,2026-06-05,152.63,4225,CORNER STORE 3,,912484******4225,5499,MID700005
TXN-299F11CCDE,2026-06-17,143.98,1843,GAS N GO 214,,673174******1843,5541,MID700006
TXN-0429B0E53B,2026-06-09,78.2,7955,PANTRY PLUS 77,,140577******7955,5499,MID700007
TXN-4DDAF34BC5,2026-06-29,76.45,5535,EXPRESS FUEL 8,,962669******5535,5542,MID700004
TXN-3DBCDD8248,2026-06-20,121.52,3079,PANTRY PLUS 77,,473241******3079,5499,MID700007
TXN-2E30005357,2026-06-28,101.51,9317,FUEL STOP #4471,,408170******9317,5541,MID700000
TXN-592D952EBB,2026-06-30,35.44,0500,TRAVEL PLAZA 12,,437296******0500,5541,MID700003
TXN-DAA460CC0E,2026-06-13,23.19,9375,TRAVEL PLAZA 12,,460713******9375,5541,MID700003
TXN-9FBB4ED734,2026-06-20,147.14,3666,EXPRESS FUEL 8,,922271******3666,5542,MID700004
TXN-8AD5A9411F,2026-06-20,80.53,1676,FUEL STOP #4471,,611224******1676,5541,MID700000
TXN-2CECC9AABA,2026-06-28,60.69,4895,TRAVEL PLAZA 12,,799097******4895,5541,MID700003
TXN-B9FD5BAA7F,2026-06-09,164.64,6628,GAS N GO 214,,450429******6628,5541,MID700006
TXN-47BB8EFEA3,2026-06-10,154.49,9146,HWY60 FUEL CTR,,370563******9146,5542,MID700002
TXN-44D7D9F1E8,2026-06-28,65.67,5428,CORNER STORE 3,,122420******5428,5499,MID700005
TXN-D2F5FEF2D2,2026-06-13,102.42,6768,FUEL STOP #4471,,205049******6768,5541,MID700000
TXN-A04C2C7C19,2026-06-11,119.12,2897,CORNER STORE 3,,117734******2897,5499,MID700005
TXN-08BFEC800B,2026-06-13,85.79,7821,GAS N GO 214,,676707******7821,5541,MID700006
TXN-692D44B95E,2026-06-29,71.82,2112,QUIKMART 0092,,396366******2112,5499,MID700001
TXN-C2EC03F308,2026-06-11,179.36,8031,CORNER STORE 3,,284387******8031,5499,MID700005
TXN-E480FAA0B6,2026-06-23,122.34,0612,GAS N GO 214,,370004******0612,5541,MID700006
TXN-BA4AA492D1,2026-06-18,56.7,2508,TRAVEL PLAZA 12,,581448******2508,5541,MID700003
TXN-33483B4073,2026-06-04,61.65,1741,PANTRY PLUS 77,,202351******1741,5499,MID700007
TXN-EDA218B143,2026-06-11,53.69,0208,QUIKMART 0092,,798075******0208,5499,MID700001
TXN-DDD5A61DE0,2026-06-10,58.58,0820,QUIKMART 0092,,737334******0820,5499,MID700001
TXN-F4B55167DB,2026-06-21,43.13,5857,PANTRY PLUS 77,,653777******5857,5499,MID700007
TXN-2BFD1E7979,2026-06-14,122.06,2732,QUIKMART 0092,,576427******2732,5499,MID700001
TXN-E16045BAC9,2026-06-20,19.75,2140,PANTRY PLUS 77,,202018******2140,5499,MID700007
TXN-6B7AA2DE90,2026-06-22,159.07,8504,QUIKMART 0092,,715230******8504,5499,MID700001
TXN-173F03A637,2026-06-17,155.06,8123,HWY60 FUEL CTR,,232143******8123,5542,MID700002
TXN-5FB0608DCF,2026-06-15,29.52,8166,PANTRY PLUS 77,,767658******8166,5499,MID700007
TXN-F5037897AB,2026-06-29,98.88,3389,PANTRY PLUS 77,,966711******3389,5499,MID700007
TXN-5AC851E7DB,2026-06-25,123.72,0035,CORNER STORE 3,,379454******0035,5499,MID700005
TXN-E67CB16ED9,2026-06-09,115.79,3072,QUIKMART 0092,,317483******3072,5499,MID700001
TXN-F0B869ECEB,2026-06-15,90.47,9655,HWY60 FUEL CTR,,505202******9655,5542,MID700002
TXN-86FEC4FF72,2026-06-27,36.18,6347,CORNER STORE 3,,473051******6347,5499,MID700005
TXN-D85B833BAE,2026-06-23,161.26,8393,EXPRESS FUEL 8,,141630******8393,5542,MID700004
TXN-BC89FBAE8E,2026-06-23,122.26,2913,CORNER STORE 3,,547497******2913,5499,MID700005
TXN-2A3C244DB4,2026-06-01,101.25,0414,GAS N GO 214,,434972******0414,5541,MID700006
TXN-9A83A68CBB,2026-06-02,74.18,7415,QUIKMART 0092,,267725******7415,5499,MID700001
TXN-049CDDEBAC,2026-06-13,78.95,5122,FUEL STOP #4471,,205197******5122,5541,MID700000
TXN-7F1FB10442,2026-06-20,47.42,3170,EXPRESS FUEL 8,,849548******3170,5542,MID700004
TXN-250E9A795C,2026-06-01,69.54,2536,FUEL STOP #4471,,810569******2536,5541,MID700000
TXN-C2865EA54F,2026-06-08,172.9,8529,QUIKMART 0092,,362464******8529,5499,MID700001
TXN-A7E99FA5EF,2026-06-16,179.44,0144,QUIKMART 0092,,584789******0144,5499,MID700001
TXN-8874A511FC,2026-06-18,134.46,0404,CORNER STORE 3,,594390******0404,5499,MID700005
TXN-D3DEB6D1A0,2026-06-21,25.8,3492,GAS N GO 214,,680783******3492,5541,MID700006
TXN-C89346A60A,2026-06-02,29.44,0889,HWY60 FUEL CTR,,762965******0889,5542,MID700002
